#timebase=2000000000(ps)
,#voltbase=10000000(mv/100)
#size=20064
5.00E-06,-0.400
1.00E-05,-0.400
1.50E-05,0.000
2.00E-05,4.000
2.50E-05,-0.400
3.00E-05,-0.400
3.50E-05,-0.400
4.00E-05,4.000
4.50E-05,0.000
5.00E-05,-0.400
5.50E-05,0.400
6.00E-05,4.400
6.50E-05,-0.400
7.00E-05,-0.400
7.50E-05,-0.400
8.00E-05,4.400
8.50E-05,-0.400
9.00E-05,-0.800
9.50E-05,0.000
1.00E-04,4.000
1.05E-04,0.000
1.10E-04,0.000
1.15E-04,0.000
1.20E-04,4.400
1.25E-04,-0.400
1.30E-04,-0.800
1.35E-04,0.000
1.40E-04,4.000
1.45E-04,0.400
1.50E-04,-0.400
1.55E-04,-0.400
1.60E-04,4.400
1.65E-04,-0.400
1.70E-04,-0.800
1.75E-04,0.000
1.80E-04,4.400
1.85E-04,-0.400
1.90E-04,-0.800
1.95E-04,0.000
2.00E-04,4.000
2.05E-04,-0.400
2.10E-04,0.000
2.15E-04,-0.400
2.20E-04,0.000
2.25E-04,-0.400
2.30E-04,0.000
2.35E-04,-0.400
2.40E-04,0.000
2.45E-04,0.000
2.50E-04,0.000
2.55E-04,0.400
2.60E-04,0.000
2.65E-04,-0.400
2.70E-04,-0.400
2.75E-04,0.400
2.80E-04,0.000
2.85E-04,-0.400
2.90E-04,0.000
2.95E-04,0.000
3.00E-04,0.000
3.05E-04,0.000
3.10E-04,0.400
3.15E-04,0.000
3.20E-04,5.200
3.25E-04,10.800
3.30E-04,0.000
3.35E-04,-0.400
3.40E-04,-0.400
3.45E-04,-0.400
3.50E-04,8.000
3.55E-04,11.600
3.60E-04,0.000
3.65E-04,0.000
3.70E-04,0.400
3.75E-04,4.400
3.80E-04,10.000
3.85E-04,0.000
3.90E-04,-0.400
3.95E-04,-0.400
4.00E-04,-0.400
4.05E-04,7.600
4.10E-04,12.800
4.15E-04,0.000
4.20E-04,-0.400
4.25E-04,-0.800
4.30E-04,4.800
4.35E-04,11.200
4.40E-04,-0.400
4.45E-04,-0.400
4.50E-04,0.000
4.55E-04,4.000
4.60E-04,7.600
4.65E-04,14.400
4.70E-04,-0.400
4.75E-04,-0.800
4.80E-04,-0.400
4.85E-04,7.600
4.90E-04,12.000
4.95E-04,-0.800
5.00E-04,-0.800
5.05E-04,-0.400
5.10E-04,5.200
5.15E-04,10.800
5.20E-04,-0.800
5.25E-04,-0.800
5.30E-04,-0.400
5.35E-04,4.000
5.40E-04,8.800
5.45E-04,5.200
5.50E-04,-0.400
5.55E-04,-0.400
5.60E-04,-0.400
5.65E-04,8.000
5.70E-04,11.600
5.75E-04,-0.400
5.80E-04,-0.400
5.85E-04,-0.400
5.90E-04,6.400
5.95E-04,11.200
6.00E-04,-0.400
6.05E-04,-0.800
6.10E-04,-0.400
6.15E-04,4.400
6.20E-04,9.600
6.25E-04,0.000
6.30E-04,0.000
6.35E-04,-0.800
6.40E-04,1.600
6.45E-04,8.000
6.50E-04,13.200
6.55E-04,-1.200
6.60E-04,-0.800
6.65E-04,-0.800
6.70E-04,6.800
6.75E-04,11.200
6.80E-04,-0.400
6.85E-04,-0.800
6.90E-04,-0.800
6.95E-04,5.200
7.00E-04,10.400
7.05E-04,-0.400
7.10E-04,-1.200
7.15E-04,-1.200
7.20E-04,4.800
7.25E-04,8.800
7.30E-04,0.000
7.35E-04,-0.800
7.40E-04,-0.800
7.45E-04,2.800
7.50E-04,8.000
